ft,zt,wo_len,ft2,zpt
0.251080,0.242914,0.158585,0.251080,0.240025
0.243474,0.235860,0.158585,0.243474,0.233178
0.235885,0.227774,0.158781,0.235885,0.225298
0.228316,0.222327,0.158781,0.228316,0.220948
0.220768,0.214800,0.158906,0.220768,0.213424
0.213245,0.209308,0.158906,0.213245,0.207388
0.205748,0.202950,0.158948,0.205748,0.200550
0.198281,0.198261,0.158948,0.198281,0.197151
0.190844,0.187424,0.158989,0.190844,0.188249
0.183441,0.179284,0.158989,0.183441,0.179576
0.176074,0.170945,0.159045,0.176074,0.172173
0.168744,0.163441,0.159045,0.168744,0.165020
0.161455,0.155828,0.159095,0.161455,0.159093
0.154209,0.149738,0.159095,0.154209,0.151682
0.147007,0.142321,0.159124,0.147007,0.145569
0.139852,0.137417,0.159124,0.139852,0.140620
0.132746,0.131361,0.159130,0.132746,0.135168
0.125692,0.126733,0.159130,0.125692,0.129708
0.118691,0.122459,0.159133,0.118691,0.125270
0.111746,0.108953,0.159133,0.111746,0.113096
0.104858,0.098562,0.159126,0.104858,0.102878
0.098030,0.090889,0.159126,0.098030,0.090658
0.091264,0.082493,0.159151,0.091264,0.081840
0.084562,0.077157,0.159151,0.084562,0.076076
0.077926,0.068964,0.159210,0.077926,0.069768
0.071358,0.065843,0.159210,0.071358,0.061882
0.064860,0.059776,0.159261,0.064860,0.052775
0.058433,0.055401,0.159261,0.058433,0.047871
0.052080,0.051132,0.159268,0.052080,0.044413
0.045803,0.047290,0.159268,0.045803,0.040177
0.039603,0.043679,0.159257,0.039603,0.035400
0.033483,0.038822,0.159257,0.033483,0.029101
0.027443,0.035474,0.159295,0.027443,0.022742
0.021487,0.030079,0.159295,0.021487,0.016279
0.015615,0.027670,0.159424,0.015615,0.008230
0.009829,0.020470,0.159424,0.009829,0.002094
0.004131,0.016947,0.159645,0.004131,-0.003089
-0.001478,0.009616,0.159645,-0.001478,-0.009998
-0.006996,0.007161,0.159947,-0.006996,-0.013587
-0.012421,-0.000310,0.159947,-0.012421,-0.020927
-0.017752,-0.003329,0.160306,-0.017752,-0.028107
-0.022988,-0.011214,0.160306,-0.022988,-0.035767
-0.028126,-0.014043,0.160710,-0.028126,-0.043617
-0.033167,-0.021513,0.160710,-0.033167,-0.052250
-0.038107,-0.023721,0.161134,-0.038107,-0.060148
-0.042947,-0.030877,0.161134,-0.042947,-0.067826
-0.047685,-0.033873,0.161551,-0.047685,-0.073573
-0.052319,-0.040483,0.161551,-0.052319,-0.080983
-0.056849,-0.044341,0.161922,-0.056849,-0.089193
-0.061273,-0.051842,0.161922,-0.061273,-0.095025
-0.065591,-0.055831,0.162202,-0.065591,-0.099409
-0.069800,-0.062734,0.162202,-0.069800,-0.105131
-0.073901,-0.066225,0.162409,-0.073901,-0.107569
-0.077892,-0.072007,0.162409,-0.077892,-0.109453
-0.081773,-0.075937,0.162556,-0.081773,-0.113386
-0.085542,-0.081124,0.162556,-0.085542,-0.117361
-0.089199,-0.084433,0.162656,-0.089199,-0.119437
-0.092743,-0.089041,0.162656,-0.092743,-0.123605
-0.096174,-0.091411,0.162738,-0.096174,-0.126665
-0.099490,-0.096104,0.162738,-0.099490,-0.126784
-0.102691,-0.098303,0.162797,-0.102691,-0.128790
-0.105776,-0.103692,0.162797,-0.105776,-0.129778
-0.108746,-0.107111,0.162814,-0.108746,-0.130829
-0.111599,-0.110159,0.162814,-0.111599,-0.132685
-0.114335,-0.112531,0.162826,-0.114335,-0.133851
-0.116954,-0.115295,0.162826,-0.116954,-0.133347
-0.119456,-0.126257,0.162834,-0.119456,-0.140063
-0.121840,-0.132273,0.162834,-0.121840,-0.143657
-0.124105,-0.139643,0.162982,-0.124105,-0.147395
-0.126253,-0.142745,0.162982,-0.126253,-0.149765
-0.128282,-0.149603,0.163377,-0.128282,-0.151952
-0.130194,-0.149050,0.163377,-0.130194,-0.155175
-0.131986,-0.154821,0.163995,-0.131986,-0.156691
-0.133661,-0.152015,0.163995,-0.133661,-0.156845
-0.135217,-0.156688,0.164732,-0.135217,-0.159040
-0.136656,-0.152604,0.164732,-0.136656,-0.159123
-0.137976,-0.154059,0.165350,-0.137976,-0.158347
-0.139179,-0.149955,0.165350,-0.139179,-0.155223
-0.140265,-0.151948,0.165798,-0.140265,-0.154219
-0.141234,-0.149575,0.165798,-0.141234,-0.151167
-0.142087,-0.150280,0.166098,-0.142087,-0.147704
-0.142823,-0.148294,0.166098,-0.142823,-0.145350
-0.143444,-0.149132,0.166282,-0.143444,-0.144990
-0.143950,-0.146792,0.166282,-0.143950,-0.143009
-0.144341,-0.146960,0.166350,-0.144341,-0.142266
-0.144619,-0.145671,0.166350,-0.144619,-0.141737
-0.144784,-0.145012,0.166355,-0.144784,-0.140262
-0.144836,-0.144707,0.166355,-0.144836,-0.136427
-0.144777,-0.143353,0.166337,-0.144777,-0.136676
-0.144608,-0.141805,0.166337,-0.144608,-0.137383
-0.144328,-0.139800,0.166298,-0.144328,-0.134584
-0.143940,-0.138231,0.166298,-0.143940,-0.130972
-0.143444,-0.135795,0.166263,-0.143444,-0.131958
